ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,PaymentHistory,SavingsAccountBalance,MonthlyIncome,NetWorth,InterestRate,LoanApproved,RiskScore
2019-041-7,18,33339,578,Epmloyed,Asscoiate,12762,72,Single,Mortgage,553,0.235432878,Auto,25,117,2778.25,25085,0.226247077,0,60
18-04-2019,21,147047,580,Self-Employed,Doctorate,13389,72,Married,Mortgage,343,0.690430236,Other,28,2865,12253.91667,128683,0.248650903,1,48
19-04-2019,56,136707,644,Employed,High School,23045,48,Married,Own,1158,0.256966708,Auto,26,1720,11392.25,9035,0.201618893,1,37.6
20-04-2019,59,21692,544,Employed,Bachelor,38885,24,Married,Own,336,0.165912369,Home,27,7943,1807.666667,44277,0.282570445,0,51
21-04-2019,37,54553,605,Employed,Associate,31023,12,Single,Other,333,0.405593044,Home,27,6004,4546.083333,50582,0.161146702,0,63
22-04-2019,46,55997,527,Employed,Doctorate,9698,36,Married,Mortgage,720,0.28520873,Debt Consolidation,29,1701,4666.416667,10236,0.25285361,1,42.4
23-04-2019,43,52731,599,Employed,High School,11577,36,Married,Own,520,0.257342413,Education,28,1291,4394.25,242935,0.19140749,1,41.6
24-04-2019,76,,686,Employed,High School,32018,,Divorced,Rent,428,0.188824791,Home,25,3661,7593.333333,110694,0.154030822,1,30.4
25-04-2019,53,32322,683,Unemployed,Bachelor,17681,36,Married,Own,969,0.428634429,Home,28,2823,2693.5,81258,0.159889453,0,57
26-04-2019,38,23183,600,Employed,Associate,20886,12,Widowed,Own,523,0.01083044,Debt Consolidation,21,1467,1931.916667,5366,0.157024269,0,51
27-04-2019,28,35295,,UNEMPLOYED,Bachelor,30630,60,Divorced,Mortgage,557,0.197795446,Debt Consolidation,22,5142,2941.25,14075,0.263240839,0,51
28-04-2019,20,28624,591,Employed,High School,22349,36,Divorced,Rent,535,0.275711637,Education,34,6059,2385.333333,4714,0.230613012,0,53
29-04-2019,42,41957,633,Employed,Bachelor,10884,60,Single,Mortgage,825,0.38763268,Other,18,1303,3496.416667,10146,0.192053042,0,52
30-04-2019,30,63120,485,Employed,Associate,13756,36,Married,Own,246,0.198929041,Home,19,9151,5260,1154,0.271966669,0,50
01-05-2019,22,53408,611,Employed,Bachelor,24367,36,Single,Rent,642,0.22052944,Debt Consolidation,26,758,4450.666667,129398,0.206477416,0,45
02-05-2019,32,28323,614,Employed,Master,31063,108,Single,Own,262,0.141745273,Home,23,673,2360.25,9714,0.257978658,0,55
03-05-2019,27,45153,589,EMPLOYED,,25432,60,Single,Rent,262,0.105861004,Debt Consolidation,30,519,3762.75,40366,0.240358459,0,51
04-05-2019,60,15000,608,Employed,Bachelor,60859,48,Divorced,Rent,800,0.168467194,Auto,15,4002,1250,4745,0.3022308,0,57
05-05-2019,50,181497,569,Employed,Bachelor,19932,12,Single,Mortgage,138,0.247984678,Education,20,6788,15124.75,1273,0.226936647,1,40
201-905-06,39,56490,609,EMPOLYED,Bacehlor,13277,60,Married,Rent,117,0.0269396,Home,27,2078,4707.5,22204,0.214520656,1,37.6
07-05-2019,57,83062,588,Self-Employed,High School,22266,36,Married,Own,319,0.086049533,Home,18,1354,6921.833333,208028,0.185929015,1,40.8
08-05-2019,40,68350,629,Employed,,10478,36,Married,Mortgage,343,0.252549266,Education,15,5274,5695.833333,26551,0.180476641,1,40
09-05-2019,29,37098,569,Employed,High School,18782,72,Married,Mortgage,402,0.098120774,Debt Consolidation,26,893,3091.5,11568,0.216173441,0,50
10-05-2019,58,15000,638,Employed,High School,,36,Married,Own,773,0.235348069,Debt Consolidation,18,1661,1250,45979,0.204408805,0,54
11-05-2091,46,48160,573,Emlpoyed,Bacheolr,55091,36,Single,Mortgage,515,0.483116129,Auto,20,6088,4013.333333,49330,0.3043092,0,56
12-05-2019,27,62186,563,Employed,Bachelor,16051,60,Married,Other,284,0.475592751,Home,24,22487,5182.166667,17720,0.197114873,1,44.8
13-05-2019,37,52719,614,Employed,Associate,12142,60,Married,Rent,798,0.191630291,Home,18,5361,4393.25,115109,0.181854738,0,45
14-05-2019,29,82968,613,Employed,Bachelor,41213,24,Single,Mortgage,608,0.366369873,Auto,23,1443,6914,376393,0.207447176,1,35.2
15-05-2019,23,59756,574,Employed,Master,56189,120,Married,Mortgage,436,0.281043117,Home,26,1917,4979.666667,21920,0.359881023,0,55
16-05-2019,51,184200,606,Employed,Bachelor,26944,60,Single,Rent,344,0.091155804,Debt Consolidation,27,3785,15350,13797,0.199722449,1,36
17-05-2019,62,34147,561,Employed,Bachelor,28233,24,Single,Rent,291,0.410628628,Debt Consolidation,30,929,2845.583333,88305,0.236557415,0,59
18-05-2019,23,52656,582,Employed,High School,12369,48,Married,Mortgage,362,0.175691947,Other,26,9540,4388,2154,0.242972646,0,53
19-05-2019,46,29822,609,Employed,Doctorate,20290,72,Widowed,Other,502,0.429020528,Home,17,8987,2485.166667,495290,0.235903023,0,48
20-05-2019,32,73090,532,Self-Employed,High School,10206,24,Single,Mortgage,556,0.308620051,Education,30,2334,6090.833333,42782,0.193829411,1,47.2
21-05-2019,34,28500,591,Employed,Master,38093,12,Single,Rent,321,0.642748087,Education,25,1111,2375,35859,0.21361562,0,60
22-05-2019,32,19063,526,Self-Employed,Master,21023,36,Married,Mortgage,581,0.105758645,Debt Consolidation,32,2824,1588.583333,108302,0.250195788,0,50
23-05-2019,29,19018,563,Employed,Bachelor,61468,84,Widowed,Own,410,0.732411629,Auto,26,960,1584.833333,3326,0.297212137,0,64
24-05-2019,40,72965,,Employed,Master,72007,48,Married,Own,565,0.054048668,Debt Consolidation,22,209,3276.166667,7841,0.281385457,0,51
25-05-2019,30,125689,634,Employed,Associate,21937,60,Married,Rent,480,0.246517553,Debt Consolidation,22,11657,10474.08333,93548,0.224471893,0,60
26-05-2019,43,84512,535,Employed,Master,,12,Single,Rent,706,0.40615796,Home,23,450,7042.666667,221811,0.220346141,1,40.8
27-05-2019,39,64438,528,Self-Employed,,69872,24,Married,Rent,628,0.277712595,Auto,21,641,5369.833333,5241,0.259818419,0,54
28-05-2019,37,,585,Employed,Associate,24907,,Married,Own,1471,0.278467626,Education,28,1784,3810.75,6976,0.20711924,0,57
29-05-2019,29,19553,559,Employed,High School,22294,36,Single,Mortgage,351,0.199440797,Debt Consolidation,30,770,1629.416667,7844,0.217096867,0,57
30-05-2019,33,28539,572,Employed,Bachelor,26197,48,Single,Rent,214,0.217689754,Auto,18,2056,2378.25,151071,0.241147427,0,50
31-05-2019,49,,630,Employed,Master,26376,,Single,Rent,778,0.252369319,Auto,29,3499,3927.5,17293,0.191941333,0,49
01-06-2019,46,35985,558,Self-Employed,Master,20048,96,Married,Mortgage,230,0.029253088,Debt Consolidation,24,3134,2998.75,2962,0.257661144,0,55
02-06-2019,28,30967,516,EMPLOYED,Master,45849,36,Single,Rent,270,0.600749575,Auto,24,3825,2580.583333,56396,0.3274188,0,58
03-06-2019,41,24251,549,Employed,High School,19614,12,Single,Mortgage,370,0.474099023,Home,22,16295,2020.916667,8005,0.186624174,0,60
04-06-2019,49,51792,444,Employed,Associate,10102,72,Married,Mortgage,429,0.21025964,Debt Consolidation,21,882,4316,24577,0.255785003,1,40.8
05-06-2019,19,29548,510,Employed,Bachelor,20836,24,Married,Rent,230,0.060667926,Education,16,1711,2462.333333,195517,0.258876825,0,48
06-06-2019,46,127245,,Employed,Bachelor,13962,24,Married,Mortgage,522,0.104831431,Debt Consolidation,15,20231,10603.75,37704,0.194733222,1,38.4
07-06-2019,32,84197,590,Employed,Associate,11266,24,Single,Own,628,0.097557753,Education,18,538,7016.416667,95513,0.186484945,1,38.4
08-06-2019,46,79036,609,Employed,Bachelor,21585,108,Married,Rent,442,0.089958079,Debt Consolidation,18,3140,6586.333333,48437,0.233975576,0,53
09-06-2019,30,56699,524,Employed,,19173,36,Married,Rent,370,0.23316625,Home,24,6949,4724.916667,50669,0.208109784,0,53
10-06-2019,18,15844,558,Employed,Bachelor,12215,48,Married,Other,366,0.275212241,Auto,34,1021,1320.333333,78381,0.25602397,0,52
11-06-2019,20,,527,Employed,Bachelor,12758,,Divorced,Mortgage,352,0.367366712,Debt Consolidation,22,796,15328.08333,42471,0.218729544,1,41.6
2019-60-12,40,42120,547,,Bcahelor,16251,72,Single,Mortgage,360,0.281943886,Debt Consolidation,24,2718,3510,228076,0.247539199,1,40
13-06-2019,43,78910,580,Unemployed,High School,8723,48,Single,Rent,241,0.294661591,Auto,17,2095,6575.833333,322668,0.245236621,0,52
14-06-2019,29,95344,527,Employed,Master,28097,84,Married,Rent,378,0.591343631,Auto,23,1494,7945.333333,11429,0.305547876,0,56
15-06-2019,47,26417,632,Unemployed,High School,32006,60,Divorced,Mortgage,305,0.222345638,Auto,26,7969,2201.416667,4096,0.258300198,0,53
16-06-2019,20,25531,445,Unemployed,,41395,24,Single,Rent,482,0.137732639,Education,16,714,2127.583333,323666,0.282804356,0,49
17-06-2019,39,58617,625,Employed,High School,55682,60,Single,Mortgage,625,0.790788052,Auto,22,1648,4884.75,34428,0.240345191,0,55
18-06-2019,25,26712,564,Employed,Bachelor,31838,36,Single,Own,912,0.279449664,Home,26,3826,1328,10910,0.241607083,0,59
19-06-2019,32,40310,544,Self-Employed,Master,23512,36,Single,Other,426,0.584894689,Other,26,859,3359.166667,28793,0.260159379,0,63
20-06-2019,40,15000,566,,High School,35366,36,Married,Own,582,0.097085064,Auto,17,19935,1250,18345,0.22111222,0,52
21-06-2019,29,62164,567,Employed,Doctorate,28744,60,Married,Own,566,0.187391222,Auto,20,3809,5180.333333,49701,0.200761026,1,41.6
22-06-2019,35,101205,506,Employed,High School,,60,Single,Rent,499,0.081508466,Auto,33,4761,8433.75,131613,0.248346053,1,35.2
20190-6-23,52,41332,565,Employde,High Scohol,28642,24,Married,Rent,248,0.21715306,Other,31,14924,3444.333333,8752,0.211496745,0,54
24-06-2019,33,28122,483,Employed,Master,,36,Married,Rent,510,0.322589211,Other,30,2452,2343.5,10791,0.260761965,0,58
25-06-2019,50,42964,514,Employed,Bachelor,14014,60,Married,Rent,561,0.143605116,Education,33,5928,3580.333333,73604,0.295010532,0,50
26-06-2019,26,49548,,Employed,High School,34399,36,Single,Mortgage,425,0.314413919,Debt Consolidation,20,2019,4129,4708,0.280216791,0,55
27-06-2019,46,51051,584,Employed,Master,11511,36,Married,Other,235,0.091128618,Education,21,766,4254.25,16057,0.21034417,0,53
28-06-2019,57,75017,542,Employed,Bachelor,20510,48,Single,Rent,1445,0.313159333,Home,21,4279,6251.416667,100057,0.232762228,0,50
29-06-2019,18,26317,501,Employed,High School,38059,120,Married,Rent,223,0.270975218,Education,36,983,2193.083333,6179,0.368520695,0,59
30-06-2019,30,28620,504,Employed,Master,21662,60,Single,Mortgage,389,0.277752463,Debt Consolidation,27,5290,2385,389586,0.284158483,0,48
01-07-2019,46,83580,541,Employed,Associate,8798,36,Single,Rent,414,0.359465353,Debt Consolidation,22,7601,3664.5,2198,0.215028011,0,67
02-07-2019,37,39872,557,Employed,High School,42185,12,Married,Rent,269,0.183344439,Auto,29,2017,3322.666667,9672,0.237397307,0,50
03-07-2019,44,100980,643,Employed,Master,36042,36,Single,Mortgage,370,0.155401721,Education,21,4140,8415,24866,0.182661247,1,36.8
04-07-2019,32,33300,592,Employed,Bachelor,37515,48,Married,Mortgage,387,0.276585878,Education,24,43404,2775,275113,0.244130169,0,52
05-07-2019,41,65680,564,Unemployed,Bachelor,60369,72,Single,Rent,486,0.135050378,Auto,19,2261,5473.333333,37184,0.2346952,0,56
06-07-2019,38,48832,635,Employed,Master,43903,60,Single,Rent,580,0.378227468,Debt Consolidation,22,2097,4069.333333,39913,0.249845839,0,51
07-07-2019,54,274161,595,Employed,Master,28413,60,Single,Mortgage,206,0.510097993,Other,20,4054,22846.75,85364,0.202381244,1,44
08-07-2019,43,29315,548,Unemployed,High School,36063,60,Single,Mortgage,351,0.186669521,Auto,27,869,2442.916667,4566,0.2136504,0,59
09-07-2019,44,44780,585,,Master,35756,60,Single,Rent,684,0.257475162,Other,28,827,3731.666667,124193,0.270299467,0,53
201-907-10,35,24199,521,EMPLOYDE,Associtae,4920,24,Married,Rent,337,0.416181815,Home,22,18203,2016.583333,100259,0.226773877,0,54
11-07-2019,34,112033,596,Employed,Associate,34995,60,Single,Other,308,0.641058635,Other,25,8724,9336.083333,144362,0.280609105,0,52
12-07-2019,34,115637,588,EMPLOYED,Doctorate,11315,60,Single,Own,259,0.574298753,Debt Consolidation,19,1755,9636.416667,705839,0.200654839,1,40.8
13-07-2019,44,43752,595,Employed,Bachelor,13313,48,Divorced,Own,457,0.4206973,Home,29,26174,3646,3140,0.243479521,0,59
14-07-2019,34,84516,574,Self-Employed,Associate,41178,72,Single,Mortgage,769,0.077850452,Education,29,1427,7043,11958,0.254937255,0,55
15-07-2019,43,63079,,Employed,Bachelor,23063,84,Married,Other,449,0.198308956,Auto,19,1045,5256.583333,20458,0.261166334,0,48
16-07-2019,64,86330,636,,Bachelor,13066,60,Married,Mortgage,254,0.219486683,Debt Consolidation,27,812,7194.166667,17515,0.165527218,1,37.6
17-07-2019,50,27549,571,Employed,High School,26843,36,Married,Rent,466,0.428573195,Other,22,1559,2295.75,13737,0.23912529,0,61
18-07-2019,36,65087,583,Employed,Master,16824,72,Single,Mortgage,695,0.549061575,Home,35,2463,5423.916667,106364,0.233468571,1,44
19-07-2019,54,171153,,Employed,Master,19780,84,Married,Mortgage,447,0.185095942,Home,20,4124,14262.75,48386,0.273341016,1,40.8
20-07-2019,35,125795,540,Employed,Bachelor,14743,84,Single,Rent,714,0.088569645,Home,24,1365,10482.91667,5729,0.27562109,1,42.4
21-07-2019,18,64715,553,Employed,Bachelor,26826,96,Married,Own,586,0.215853873,Home,22,6103,5392.916667,70877,0.337976354,0,49
22-07-2019,27,68021,547,Employde,Hihg School,25477,84,Married,Own,311,0.197643508,Auto,25,3943,5668.416667,10054,0.235174701,0,50
23-07-2019,18,227026,570,Employed,Master,21516,60,Divorced,Rent,357,0.117210044,Debt Consolidation,20,1273,18918.83333,5641,0.244145103,1,48
24-07-2019,35,73723,610,Employed,Associate,14338,60,Married,Rent,433,0.08804848,Debt Consolidation,11,3221,6143.583333,10370,0.215228328,0,48
25-07-2019,40,28024,540,Employed,High School,41317,24,Married,Mortgage,175,0.366467778,Home,20,5969,2335.333333,16143,0.23068766,0,57
26-07-2019,60,178505,624,Employed,Doctorate,27743,12,Single,Mortgage,1228,0.10457766,Debt Consolidation,28,2681,14875.41667,234833,0.190991334,1,36.8
27-07-2019,43,58472,568,Employed,Master,21879,96,Single,Mortgage,404,0.377394092,Debt Consolidation,29,9327,4872.666667,64201,0.218335389,1,42.4
28-07-2019,37,61529,462,Unemployed,,27348,12,Single,Rent,176,0.516613811,Home,20,3831,5127.416667,39943,0.279248476,0,63
29-07-2019,49,45667,586,Employed,High School,15832,48,Divorced,Mortgage,775,0.215529408,Debt Consolidation,28,1052,3805.583333,38709,0.261291965,0,54
30-07-2019,18,29145,595,Self-Employed,High School,21836,72,Married,Mortgage,344,0.165909378,Education,27,2668,2428.75,17187,0.25280581,0,57
31-07-2019,42,51631,522,Employed,Associate,21057,48,Single,Mortgage,575,0.268620034,Auto,25,5681,4302.583333,7459,0.240064514,0,52
01-08-2019,49,90478,609,Employed,Bachelor,16052,84,Divorced,Mortgage,565,0.423490851,Home,29,773,7539.833333,33463,0.196980711,1,44
02-08-2019,22,68067,613,Employed,Bachelor,55965,96,Married,Other,810,0.143006448,Home,29,4342,5672.25,115064,0.288694376,0,43
03-08-2019,53,82334,571,Employed,Bachelor,19842,36,Single,Own,689,0.299603864,Debt Consolidation,26,6367,6861.166667,204921,0.198010282,1,44
04-08-2019,44,41288,596,Employed,Bachelor,26599,60,Single,Mortgage,409,0.127785341,Other,25,1772,3440.666667,101282,0.243309191,0,48
05-08-2019,35,18005,634,Self-Employed,Bachelor,41900,12,Single,Mortgage,432,0.454742853,Debt Consolidation,26,1210,1500.416667,116143,0.20005666,0,65
06-08-2019,47,50061,614,Employed,Master,32043,48,Married,Mortgage,460,0.30155996,Home,24,5256,4171.75,60025,0.203839318,0,48
07-08-2019,67,87371,509,,Bachelor,27722,72,Divorced,Rent,907,0.556465576,Education,20,1128,7280.916667,66517,0.323591396,0,54
08-08-2019,42,18379,605,Self-Employed,Doctorate,16635,36,Divorced,Rent,556,0.294520717,Home,30,11150,1531.583333,60289,0.174871714,0,52
09-08-2019,42,51726,549,Employed,Master,28018,60,Married,Mortgage,346,0.212944872,Debt Consolidation,23,632,4310.5,31317,0.239758795,0,64
10-08-2019,34,47633,610,Employed,High School,19856,24,Married,Rent,425,0.125068755,Education,28,1798,3969.416667,278021,0.202035939,0,44
11-08-2019,29,25959,596,EMPLOYED,Master,24977,72,Married,Mortgage,199,0.29543084,Other,22,4686,2163.25,35896,0.205519451,0,55
12-08-2019,49,72613,618,,High School,17923,36,Divorced,Mortgage,745,0.383913454,Debt Consolidation,28,4716,6051.083333,35298,0.217085215,0,52
13-08-2019,29,107380,600,Employed,Doctorate,15479,96,Single,Other,447,0.131640306,Auto,27,2593,8948.333333,55901,0.219508038,1,35.2
14-08-2019,40,170970,590,Employed,Bachelor,17011,120,Married,Other,948,0.244675367,Debt Consolidation,26,3617,14247.5,133298,0.313661929,1,36.8
15-08-2019,34,62296,625,Employed,Bachelor,16758,12,Married,Other,267,0.050854025,Other,26,14410,5191.333333,8779,0.155703114,1,39.2
16-08-2019,45,110989,593,Employed,Associate,9547,48,Single,Rent,428,0.208742409,Auto,21,4006,9249.083333,25019,0.209418924,1,44.8
17-08-2019,44,24270,584,Employed,High School,34423,48,Single,Rent,546,0.247189845,Auto,20,771,2022.5,3256,0.2541289,0,65
2019-08-81,52,37808,543,Uenmployed,Hihg School,28006,36,Divorced,Rent,575,0.145309513,Debt Consolidation,23,2158,3150.666667,9426,0.24445338,0,53
19-08-2019,33,73477,576,Self-Employed,Master,35572,48,Married,Own,515,0.454725901,Education,14,21314,6123.083333,104734,0.24553904,1,44
20-08-2019,36,30273,604,Employed,Associate,15092,48,Single,Own,467,0.488096435,Debt Consolidation,19,3454,2522.75,9346,0.206842605,0,55
21-08-2019,28,,631,Employed,Bachelor,19237,,Married,Own,439,0.591691576,Home,24,7693,3775.25,135311,0.201068458,0,53
22-08-2019,34,93598,540,Unemployed,Master,18760,36,Divorced,Rent,378,0.561973543,Auto,29,4096,7799.833333,5915,0.253782595,1,48.8
23-08-2109,44,43325,572,mEployed,High Scholo,30431,60,Married,Rent,270,0.681969818,Auto,20,817,3610.416667,7260,0.228286305,0,59
24-08-2019,49,30386,586,Employed,Bachelor,9985,96,Single,Rent,1237,0.484793136,Education,22,23633,2532.166667,71248,0.278222046,0,66
25-08-2019,28,30694,597,Employed,Associate,24056,36,Single,Mortgage,258,0.164499218,Home,25,866,2557.833333,12459,0.209359924,0,51
26-08-2019,50,40892,589,Employed,High School,33052,60,Married,Mortgage,176,0.248916806,Other,22,2284,3407.666667,6686,0.253159622,0,52
27-08-2019,56,78126,604,Employed,Master,36331,48,Married,Other,745,0.291695801,Other,29,1282,6510.5,168478,0.229950182,0,50
28-08-2019,44,39612,610,Employed,Bachelor,15354,48,Single,Rent,962,0.058329353,Education,25,13406,3301,41741,0.205892444,0,50
29-08-2091,62,15000,554,Epmloyed,Hig hSchool,19053,72,Married,Rent,813,0.065626992,Home,22,1995,1250,182985,0.254420025,0,48
30-08-2019,30,65391,551,Employed,Bachelor,20813,12,Married,Rent,515,0.113258883,Education,23,1799,5449.25,16755,0.176186618,0,49
31-08-2019,25,58653,451,Employed,Master,31899,24,Divorced,Rent,527,0.222727649,Debt Consolidation,18,810,4887.75,22457,0.289066052,0,53
01-09-2019,18,17186,493,Employed,High School,27782,108,Divorced,Other,664,0.290807034,Debt Consolidation,24,1686,1432.166667,1801,0.299221614,0,57
02-09-2019,57,28997,583,Employed,Associate,26559,36,Married,Rent,192,0.313508353,Auto,19,7829,2416.416667,71595,0.179072694,0,57
03-09-2019,47,134094,648,EMPLOYED,Master,28507,48,Single,Own,145,0.378081606,Education,22,1324,11174.5,101723,0.222201993,1,35.2
04-09-2019,39,45293,634,Employed,Master,22880,72,Single,Own,364,0.249754874,Education,26,28744,3774.416667,156699,0.248763531,0,45
05-09-2019,43,75736,595,Employed,Bachelor,22222,12,Divorced,Rent,339,0.2073315,Other,31,4280,6311.333333,8242,0.196695983,0,52
06-09-2019,26,46480,549,Unemployed,Associate,29007,48,Widowed,Own,280,0.244492727,Debt Consolidation,19,21602,2367.166667,27127,0.281466848,0,67
07-09-2019,69,97919,534,Employed,Bachelor,39904,24,Married,Own,505,0.402675204,Debt Consolidation,29,2395,8159.916667,18217,0.224407173,0,67
08-09-2019,41,33513,575,,Bachelor,29342,60,Single,Mortgage,364,0.342579572,Auto,22,2727,2792.75,10836,0.252626144,0,55
09-09-2019,41,41344,517,Employed,High School,10944,36,Divorced,Mortgage,155,0.512040543,Other,20,2140,3445.333333,94632,0.213496464,1,46.4
10-09-2019,48,55698,465,Employed,Bachelor,10087,36,Married,Rent,394,0.067976703,Home,26,2990,4641.5,31119,0.263531781,0,49
11-09-2019,45,,561,Employed,Bachelor,25819,,Single,Mortgage,243,0.305124034,Debt Consolidation,21,4332,1461.666667,69665,0.216671837,0,54
12-09-2019,42,62851,555,Employed,Master,19399,48,Married,Own,148,0.095862989,Home,27,1280,5237.583333,9352,0.264863041,0,49
13-09-2019,30,27864,499,Employed,High School,37698,36,Single,Rent,329,0.170976823,Home,23,5024,2322,1940,0.288661668,0,55
14-09-2019,45,83417,569,Unemployed,Associate,30023,84,Single,Other,980,0.170450268,Home,29,992,6951.416667,148099,0.271511352,0,49
15-09-2019,62,68487,659,Unemployed,Bachelor,8489,60,Married,Other,347,0.456933975,Home,23,392,5707.25,7834,0.182377198,0,62
16-09-2019,56,44238,595,Self-Employed,Bachelor,23345,72,Married,Mortgage,433,0.386942294,Debt Consolidation,25,324,3686.5,9443,0.289014,0,59
17-09-2019,59,113834,566,Employed,Bachelor,17034,108,Single,Own,303,0.627911616,Home,26,2666,9486.166667,71407,0.2316068,1,47.2
18-09-2019,33,15000,580,Employed,High School,26269,48,Single,Own,974,0.117385112,Other,20,4295,1250,129477,0.185995348,0,50
19-09-2019,28,143624,578,Employed,High School,20862,72,Married,Own,414,0.346142582,Debt Consolidation,27,6039,11968.66667,152367,0.259002436,1,37.6
20-09-2019,38,154460,632,,Bachelor,35260,60,Divorced,Rent,314,0.119482088,Auto,23,1181,12871.66667,2983,0.235309617,1,39.2
21-09-2019,40,40241,586,Employed,Master,28322,48,Married,Mortgage,456,0.340298772,Debt Consolidation,26,1863,3353.416667,8742,0.236069625,0,54
22-09-2019,53,87051,563,Employed,Bachelor,38590,72,Single,Other,519,0.412557718,Home,19,1276,7254.25,10697,0.305357626,0,55
23-09-2019,19,64805,531,EMPLOYED,Bachelor,40080,96,Widowed,Rent,103,0.188465107,Home,18,411,5400.416667,53554,0.298592169,0,48
24-09-2019,58,15692,683,Employed,Doctorate,13545,48,Divorced,Own,443,0.337539604,Home,24,8262,1307.666667,45334,0.15143013,0,51
25-09-2019,38,44243,485,,Associate,53994,24,Single,Mortgage,308,0.348997534,Debt Consolidation,30,1052,3686.916667,5622,0.265716089,0,56
26-09-2019,34,,604,Self-Employed,Bachelor,,,Married,Mortgage,340,0.403980014,Auto,21,2881,1599.916667,26802,0.206103123,0,58
27-09-2019,27,,579,Employed,High School,29452,,Married,Mortgage,827,0.178800111,Home,23,1114,1250,123863,0.230948318,0,58
28-09-2019,20,42675,612,Employed,Master,12555,96,Married,Mortgage,647,0.275118151,Debt Consolidation,32,1746,3556.25,58191,0.206699436,0,48
29-09-2019,49,44015,640,Employed,Bachelor,41211,48,Married,Other,382,0.078378372,Debt Consolidation,31,3810,3667.916667,15516,0.245059731,0,47
30-09-2019,40,88296,,Self-Employed,Associate,21632,24,Single,Own,225,0.201600201,Home,27,1746,7358,3845,0.236904874,1,43.2
01-10-2019,24,29791,549,Employed,High School,32626,96,Married,Mortgage,431,0.444191469,Home,21,2964,2482.583333,92555,0.288034032,0,55
02-10-2019,24,31740,471,Employed,Associate,47075,36,Widowed,Mortgage,484,0.475981777,Home,25,9582,2645,12411,0.289813545,0,63
03-10-2019,35,94036,616,Employed,High School,49258,24,Married,Own,526,0.747766668,Education,23,10086,7836.333333,5697,0.204824416,0,55
04-10-2019,60,48350,641,Employed,Associate,13081,60,Married,Rent,157,0.285788439,Home,17,12105,4029.166667,6314,0.226949203,0,50
2019-1-005,36,39711,626,Self-mEployed,Docotrate,22891,48,Married,Mortgage,786,0.258617108,Other,28,1185,3309.25,128059,0.225185056,0,48
06-10-2019,21,,497,Employed,High School,21401,,Single,Mortgage,324,0.086502069,Other,33,1513,5023.666667,55921,0.278515818,0,47
07-10-2019,37,80125,642,Unemployed,Bachelor,9578,120,Married,Own,207,0.175436736,Other,30,6925,6677.083333,108247,0.23304758,1,36.8
08-10-2019,36,44970,587,Employed,High School,40175,84,Married,Own,368,0.385467636,Home,31,7059,3747.5,12863,0.290500445,0,54
09-10-2019,18,63764,565,Employed,Bachelor,23507,24,Single,Other,359,0.452355506,Other,26,2150,5313.666667,4310,0.227672531,0,55
10-10-2019,39,22669,604,Employed,Bachelor,14958,36,Married,Mortgage,426,0.108809935,Education,19,6549,1889.083333,9878,0.209963701,0,49
11-10-2019,37,29503,576,Employed,High School,18886,60,Married,Mortgage,527,0.251571629,Debt Consolidation,27,16163,2458.583333,282765,0.236025415,0,51
12-10-2019,48,167579,623,Employed,Master,12674,60,Married,Mortgage,1230,0.232099834,Home,24,7317,13964.91667,8655,0.2474088,1,37.6
13-10-2019,62,15000,577,Employed,Bachelor,27612,24,Single,Rent,310,0.275317683,Auto,24,948,1250,61201,0.202038171,0,55
14-10-2019,53,38978,624,Employed,Doctorate,16179,60,Married,Rent,437,0.176491155,Education,26,1062,3248.166667,4136,0.208102323,0,51
15-10-2019,36,19546,501,Employed,High School,19910,120,Single,Mortgage,136,0.161769478,Home,22,5440,1628.833333,3378,0.323959495,0,51
16-10-2019,26,43237,548,Employed,Associate,18672,48,Divorced,Own,370,0.094254969,Auto,18,16493,3603.083333,4746,0.207783222,0,68
17-10-2019,70,114947,661,Employed,Doctorate,46798,36,Single,Mortgage,493,0.011739556,Debt Consolidation,22,4653,9578.916667,10808,0.204196353,0,49
18-10-2019,40,98180,564,Employed,Master,14484,60,Single,Mortgage,604,0.236201644,Debt Consolidation,34,1199,8181.666667,228007,0.22800955,1,37.6
19-10-2019,40,43176,643,Self-Employed,Master,18143,24,Married,Mortgage,185,0.394072829,Debt Consolidation,23,6246,3598,71920,0.18274826,0,52
2019-1-020,39,27380,616,Emlpoyed,Bahcelor,16602,72,Married,Rent,348,0.142647673,Education,27,6263,2281.666667,18794,0.1788816,0,48
21-10-2019,42,21588,508,Employed,Bachelor,22746,36,Married,Rent,898,0.429934067,Education,18,6526,1799,84136,0.3044952,0,55
22-10-2019,38,49512,,Employed,Master,25407,48,Married,Rent,833,0.088108982,Other,23,2595,4126,42970,0.252232725,0,50
23-10-2019,33,139885,573,Employed,High School,17616,24,Married,Other,894,0.286941676,Home,24,1595,11657.08333,5257,0.170326822,1,39.2
24-10-2019,33,35355,505,Unemployed,Bachelor,21412,24,Divorced,Rent,298,0.470297181,Debt Consolidation,22,10637,2946.25,9251,0.246501457,0,59
25-10-2019,39,44765,575,Self-Employed,Master,18618,48,Married,Mortgage,254,0.769608615,Home,17,3420,3730.416667,4129,0.252408583,0,62
